,Player,team_name,sub_position,Nation,Age,minutes_played,competition,matches_played,Starts,Rank_Defensive Duels SEPI,Rank_Aerial SEPI,Rank_Passing SEPI,Rank_p90_pmin_errors,Rank_p90_pmin_ball_recoveries,Rank_p90_pmin_Gls,Rank_p90_pmin_Ast,Rank_p90_pmin_shot_creating_actions_p90,Rank_G-xG,Rank_p90_pmin_interceptions,Rank_p90_pmin_progressive_passes,Rank_p90_pmin_dispossessed,Rank_p90_pmin_errors,Rank_p90_pmin_key_passes,Rank_Dribble SEPI,Position Specific Index,Team Final League Ranking
20,Joseph Aidoo,Celta Vigo,Centre-Back,gh GHA,24,1289,es La Liga,25,14,0.78767507,0.21512605,0.3232493,0.747058824,0.77535014,0.236134454,0.321848739,0.688515406,0.17853139,0.753501401,0.484313725,0.601680672,0.747058824,0.302521008,0.383753501,0.270868347,8
21,Joseph Aidoo,Celta Vigo,Centre-Back,gh GHA,23,2502,es La Liga,32,27,0.622408964,0.13557423,0.583753501,0.87394958,0.444817927,0.236134454,0.725210084,0.096918768,0.124439462,0.68627451,0.542857143,0.73837535,0.87394958,0.218207283,0.644257703,0.182521008,17
22,Kristoffer Ajer,Brentford,Centre-Back,no NOR,24,763,eng Premier League,9,9,0.826330532,0.384313725,0.117647059,0.228011204,0.159663866,0.236134454,0.321848739,0.740896359,0.646020179,0.099439776,0.654341737,0.983193277,0.228011204,0.243977591,0.058263305,0.251988796,9
23,Kristoffer Ajer,Brentford,Centre-Back,no NOR,23,1995,eng Premier League,24,23,0.531092437,0.566386555,0.045378151,0.228011204,0.365266106,0.612885154,0.97535014,0.819047619,0.718049327,0.325490196,0.664985994,0.780672269,0.228011204,0.810644258,0.867787115,0.256022409,13
24,Manuel Akanji,Manchester City,Centre-Back,ch SUI,27,2287,eng Premier League,29,24,0.79047619,0.057703081,0.980952381,0.228011204,0.516526611,0.236134454,0.749019608,0.533893557,0.067544843,0.033053221,0.82745098,0.354061625,0.228011204,0.675070028,0.271428571,0.423529412,1
25,Manuel Akanji,Dortmund,Centre-Back,ch SUI,26,2261,de Bundesliga,26,25,0.765266106,0.468347339,0.937254902,0.228011204,0.835854342,0.57394958,0.321848739,0.328851541,0.149383408,0.514845938,0.830252101,0.119327731,0.228011204,0.146218487,0.79047619,0.555742297,2
26,Manuel Akanji,Dortmund,Centre-Back,ch SUI,25,2350,de Bundesliga,28,26,0.247058824,0.458823529,0.969747899,0.554621849,0.628571429,0.78907563,0.321848739,0.468347339,0.747477578,0.813445378,0.956862745,0.810084034,0.554621849,0.233613445,0.82464986,0.349915966,2
27,Manuel Akanji,Dortmund,Centre-Back,ch SUI,24,2309,de Bundesliga,29,25,0.307002801,0.133333333,0.929971989,0.778431373,0.272268908,0.236134454,0.746498599,0.191036415,0.357623318,0.319327731,0.750140056,0.647058824,0.778431373,0.240896359,0.677871148,0.172829132,2
28,Manuel Akanji,Dortmund,Centre-Back,ch SUI,23,2205,de Bundesliga,25,25,0.59859944,0.275630252,0.975910364,0.792156863,0.373109244,0.583473389,0.321848739,0.417366947,0.80941704,0.268347339,0.881232493,0.674509804,0.792156863,0.60952381,0.615686275,0.286218487,2
29,Nathan Aké,Manchester City,Centre-Back,nl NED,27,1873,eng Premier League,26,22,0.073389356,0.472268908,0.951260504,0.228011204,0.262184874,0.629131653,0.321848739,0.739495798,0.261491031,0.177591036,0.971988796,0.046498599,0.228011204,0.868347339,0.324369748,0.306218487,1
30,Nathan Aké,Manchester City,Centre-Back,nl NED,26,923,eng Premier League,14,10,0.355182073,0.966386555,0.954061625,0.228011204,0.146218487,0.979271709,0.321848739,0.6767507,0.940022422,0.082913165,0.924369748,0.745098039,0.228011204,0.483193277,0.081792717,0.438767507,1
31,Nathan Aké,Manchester City,Centre-Back,nl NED,25,797,eng Premier League,10,9,0.133893557,0.536694678,0.988235294,0.228011204,0.026890756,0.900840336,0.321848739,0.792717087,0.863789238,0.205042017,0.943977591,0.334733894,0.228011204,0.231372549,0.112044818,0.291540616,1
32,Nathan Aké,Bournemouth,Centre-Back,nl NED,24,2503,eng Premier League,29,29,0.631932773,0.143977591,0.612885154,0.228011204,0.406162465,0.764705882,0.874509804,0.147338936,0.124439462,0.426330532,0.451540616,0.528851541,0.228011204,0.625770308,0.48907563,0.313389356,18
33,Nathan Aké,Bournemouth,Centre-Back,nl NED,23,3411,eng Premier League,38,38,0.235294118,0.405602241,0.582072829,0.228011204,0.329411765,0.878431373,0.321848739,0.117086835,0.83632287,0.112044818,0.355182073,0.4767507,0.228011204,0.457703081,0.278431373,0.26487395,14
34,Kevin Akpoguma,Hoffenheim,Centre-Back,ng NGA,27,1950,de Bundesliga,28,21,0.787114846,0.410644258,0.277310924,0.600560224,0.732212885,0.236134454,0.321848739,0.546218487,0.261491031,0.274509804,0.71092437,0.788235294,0.600560224,0.576470588,0.063865546,0.321344538,12
35,Kevin Akpoguma,Hoffenheim,Centre-Back,ng NGA,26,1527,de Bundesliga,26,19,0.490756303,0.104201681,0.175910364,0.895798319,0.689635854,0.910364146,0.961344538,0.931092437,0.885369955,0.330532213,0.894677871,0.921568627,0.895798319,0.942857143,0.071148459,0.112941176,9
36,Kevin Akpoguma,Hoffenheim,Centre-Back,ng NGA,25,1184,de Bundesliga,16,14,0.702521008,0.047619048,0.448179272,0.946778711,0.478431373,0.784313725,0.321848739,0.596638655,0.899383408,0.189915966,0.786554622,0.217366947,0.946778711,0.345098039,0.58487395,0.145994398,11
37,Kevin Akpoguma,Hoffenheim,Centre-Back,ng NGA,24,1142,de Bundesliga,18,12,0.844817927,0.055462185,0.770308123,0.228011204,0.630812325,0.236134454,0.321848739,0.3232493,0.575952915,0.208683473,0.340056022,0.965826331,0.228011204,0.364985994,0.408963585,0.414677871,6
38,David Alaba,Real Madrid,Centre-Back,at AUT,30,1838,es La Liga,23,21,0.578431373,0.226890756,0.756862745,0.621568627,0.259943978,0.633893557,0.980392157,0.801680672,0.718049327,0.046498599,0.569187675,0.673389356,0.621568627,0.964705882,0.466106443,0.240112045,2
39,David Alaba,Real Madrid,Centre-Back,at AUT,29,2642,es La Liga,30,30,0.237535014,0.077871148,0.915966387,0.517647059,0.330532213,0.743977591,0.943977591,0.717086835,0.778587444,0.071708683,0.904761905,0.297478992,0.517647059,0.953501401,0.138935574,0.208851541,1
40,David Alaba,Bayern Munich,Centre-Back,at AUT,28,2675,de Bundesliga,32,30,0.32605042,0.173669468,0.695798319,0.228011204,0.802240896,0.741456583,0.974789916,0.820168067,0.885369955,0.555742297,0.99047619,0.859383754,0.228011204,0.977030812,0.903641457,0.35394958,1
41,David Alaba,Bayern Munich,Centre-Back,at AUT,27,2498,de Bundesliga,28,27,0.291316527,0.0767507,0.94789916,0.228011204,0.957983193,0.547058824,0.72605042,0.770868347,0.646020179,0.22464986,1,0.438655462,0.228011204,0.951260504,0.648739496,0.409187675,1
42,David Alaba,Bayern Munich,Centre-Back,at AUT,26,2530,de Bundesliga,31,29,0.489635854,0.19047619,0.603361345,0.228011204,0.484033613,0.881792717,0.951820728,0.924369748,0.496636771,0.269467787,0.97254902,0.960784314,0.228011204,0.980392157,0.963585434,0.30789916,1
43,Raúl Albiol,Villarreal,Centre-Back,es ESP,36,2119,es La Liga,25,24,0.620168067,0.433053221,0.826330532,0.228011204,0.256022409,0.236134454,0.321848739,0.241456583,0.575952915,0.028571429,0.784313725,0.611764706,0.228011204,0.156862745,0.311484594,0.381512605,5
44,Raúl Albiol,Villarreal,Centre-Back,es ESP,35,2465,es La Liga,28,28,0.296078431,0.413445378,0.66162465,0.539495798,0.4,0.236134454,0.321848739,0.065546218,0.357623318,0.081232493,0.570868347,0.624089636,0.539495798,0.324929972,0.393277311,0.246330532,7
45,Raúl Albiol,Villarreal,Centre-Back,es ESP,34,3115,es La Liga,35,35,0.428011204,0.490196078,0.804481793,0.662184874,0.412885154,0.236134454,0.321848739,0.089635854,0.149383408,0.034733894,0.714285714,0.508683473,0.662184874,0.234733894,0.347338936,0.294677871,7
46,Raúl Albiol,Villarreal,Centre-Back,es ESP,33,3237,es La Liga,36,36,0.207843137,0.410084034,0.553501401,0.650980392,0.177591036,0.479551821,0.321848739,0.084033613,0.067544843,0.318207283,0.569747899,0.16022409,0.650980392,0.225770308,0.4232493,0.139607843,5
47,Raúl Albiol,Napoli,Centre-Back,es ESP,32,1713,it Serie A,20,19,0.133893557,0.484593838,0.832492997,0.638095238,0.519327731,0.650420168,0.321848739,0.737815126,0.863789238,0.228571429,0.785994398,0.308683473,0.638095238,0.644257703,0.227170868,0.266442577,2
48,Omar Alderete,Getafe,Centre-Back,py PAR,25,2047,es La Liga,25,23,0.395518207,0.780952381,0.002240896,0.228011204,0.771988796,0.604481793,0.771988796,0.666666667,0.778587444,0.298039216,0.779831933,0.814565826,0.228011204,0.546778711,0.930532213,0.344537815,15
49,Omar Alderete,Valencia,Centre-Back,py PAR,24,2403,es La Liga,29,28,0.785994398,0.707002801,0.003921569,0.228011204,0.697478992,0.779271709,0.321848739,0.294677871,0.928251121,0.443137255,0.580392157,0.457703081,0.228011204,0.338935574,0.908123249,0.393277311,9
50,Omar Alderete,Hertha BSC,Centre-Back,py PAR,23,1299,de Bundesliga,17,14,0.481792717,0.240896359,0.410084034,0.744537815,0.298039216,0.236134454,0.321848739,0.486834734,0.420683857,0.564145658,0.68907563,0.59859944,0.744537815,0.513165266,0.980392157,0.137254902,14
51,Gastón Álvarez,Getafe,Centre-Back,uy URU,22,1501,es La Liga,22,16,0.993837535,0.157422969,0.003361345,0.228011204,0.020168067,0.916526611,0.321848739,0.754061625,0.956838565,0.149019608,0.258823529,0.530532213,0.228011204,0.596638655,0.085714286,0.189355742,15
52,Yeray Álvarez,Athletic Club,Centre-Back,es ESP,27,2332,es La Liga,28,27,0.711484594,0.45210084,0.379271709,0.228011204,0.949019608,0.565266106,0.744537815,0.614565826,0.718049327,0.805602241,0.943417367,0.117086835,0.228011204,0.914845938,0.307002801,0.452773109,8
53,Yeray Álvarez,Athletic Club,Centre-Back,es ESP,26,1860,es La Liga,22,21,0.356302521,0.499719888,0.391596639,0.228011204,0.880672269,0.236134454,0.321848739,0.586554622,0.30661435,0.918207283,0.514285714,0.445938375,0.228011204,0.481232493,0.326610644,0.380056022,8
54,Yeray Álvarez,Athletic Club,Centre-Back,es ESP,25,1948,es La Liga,23,22,0.421848739,0.430252101,0.425770308,0.228011204,0.671708683,0.616806723,0.321848739,0.327731092,0.778587444,0.964705882,0.485714286,0.261904762,0.228011204,0.678431373,0.917086835,0.344313725,10
55,Yeray Álvarez,Athletic Club,Centre-Back,es ESP,24,2810,es La Liga,32,32,0.191036415,0.675630252,0.219607843,0.704201681,0.515406162,0.236134454,0.321848739,0.230812325,0.067544843,0.853221289,0.625210084,0.478991597,0.704201681,0.377591036,0.863305322,0.179495798,11
56,Yeray Álvarez,Athletic Club,Centre-Back,es ESP,23,2613,es La Liga,30,30,0.324929972,0.592156863,0.263865546,0.522128852,0.314285714,0.236134454,0.321848739,0.045938375,0.067544843,0.916526611,0.544537815,0.719327731,0.522128852,0.1232493,0.562464986,0.194621849,8
57,Daniel Amartey,Leicester City,Centre-Back,gh GHA,27,1610,eng Premier League,20,18,0.05210084,0.361904762,0.902521008,0.228011204,0.729971989,0.236134454,0.321848739,0.672268908,0.101457399,0.011764706,0.661904762,0.633893557,0.228011204,0.683753501,0.151260504,0.363697479,18
58,Daniel Amartey,Leicester City,Centre-Back,gh GHA,26,2123,eng Premier League,28,23,0.133893557,0.108123249,0.899719888,0.965266106,0.755182073,0.236134454,0.321848739,0.470588235,0.646020179,0.142857143,0.365826331,0.123809524,0.965266106,0.408963585,0.702521008,0.186330532,8
